P17_001,P17_002,P17_003,P17_004,lon,lat
清瀬消防署竹丘出張所,"13221","3",清瀬市竹丘2-7-6,139.5109790000,35.7651940000
東久留米消防署,"13222","2",東久留米市幸町3-4-34,139.5216730000,35.7575560000
東久留米消防署新川出張所,"13222","3",東久留米市新川町2-3-11,139.5386160000,35.7619170000
北多摩西部消防署三ツ木出張所,"13223","3",武蔵村山市三ツ藤3-53-1,139.3744340000,35.7533930000
多摩消防署,"13224","2",多摩市諏訪1-69,139.4482120000,35.6324290000
多摩消防署多摩センター出張所,"13224","3",多摩市鶴牧1-27-1,139.4181870000,35.6221800000
稲城消防署,"13225","2",稲城市東長沼2111,139.5050130000,35.6380430000
福生消防署羽村出張所,"13227","3",羽村市栄町2-21-9,139.3114690000,35.7689930000
秋川消防署,"13228","2",あきる野市伊奈466,139.2564190000,35.7344680000
秋川消防署秋留台消防出張所,"13228","3",あきる野市秋川5-6-2,139.2923880000,35.7319970000
西東京消防署,"13229","2",西東京市中町1-1-6,139.5553650000,35.7389480000
西東京消防署西原出張所,"13229","3",西東京市西原町2-1-14,139.5342010000,35.7332260000
西東京消防署田無出張所,"13229","3",西東京市向台町2-3-6,139.5423120000,35.7214220000
西東京消防署保谷出張所,"13229","3",西東京市下保谷1-2-4,139.5580870000,35.7482240000
福生消防署瑞穂出張所,"13303","3",瑞穂町箱根ヶ崎2353,139.3544650000,35.7727440000
秋川消防署檜原消防出張所,"13307","3",檜原村526,139.1458470000,35.7282190000
奥多摩消防署,"13308","2",奥多摩町氷川952,139.0925160000,35.8040980000
八王子消防署みなみ野出張所,"13201","3",八王子市大船町1044-2,139.3157690000,35.6172630000
東京消防庁第一消防方面本部,"13101","1",千代田区麹町1-12,139.7431870000,35.6851900000
東京消防庁第二消防方面本部,"13111","1",大田区大森東1-32-8,139.7393460000,35.5788020000
東京消防庁第三消防方面本部,"13112","1",世田谷区三軒茶屋2-33-21,139.6663240000,35.6408680000
東京消防庁第四消防方面本部,"13104","1",新宿区大久保3-14-26,139.7087298300,35.7083065700
東京消防庁第五消防方面本部,"13116","1",豊島区西池袋2-37-8,139.7068890000,35.7279670000
東京消防庁第六消防方面本部,"13106","1",台東区蔵前2-10-9,139.7935530000,35.7037050000
東京消防庁第七消防方面本部,"13108","1",江東区森下5-1-4,139.8065792300,35.6848646200
東京消防庁第八消防方面本部,"13202","1",立川市泉町1156-1,139.4062770000,35.7153220000
東京消防庁第九消防方面本部,"13201","1",八王子市石川町2099-2,139.3579680000,35.6685820000
東京消防庁第十消防方面本部,"13119","1",板橋区高島平3-12-10,139.6577952800,35.7861950000
